Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jason Smith,,2.3,2.2,1.8,1.7,1.6,1.5,1.2,0.9,0.7,0.2,0
Tony Massenburg,89.0,2.8,2.2,1.8,1.7,1.5,1.3,1,0.7,0.4,0.2,-0.1
Jud Buechler,87.2,2.9,2.3,1.9,1.8,1.5,1.5,1.2,1.2,0.5,0.5,0.4
Earl Cureton,83.3,2.7,2.6,2.1,2,1.5,1.2,1,0.8,0.7,0,-0.1
Tom Hammonds,81.5,2.6,2.4,2.2,1.8,1.7,1,0.8,0.8,0.6,0.5,0.5
Damien Wilkins,78.6,2.8,1.9,1.9,1.7,1.5,1,1,0.4,0,-0.1,NA
Bill Willoughby,78.3,3,2.6,1.8,1.5,1.2,1.2,1.1,0.9,NA,NA,NA
Steve Kuberski,77.3,2.6,2.3,1.7,1.7,1.2,1.1,0.6,0.2,0,NA,NA
Ryan Bowen,77.2,3.1,2.1,1.7,1.5,1.4,1.1,0.8,0.6,0.2,0.1,NA
Robert Traylor,76.5,2.5,2.5,2.4,1.9,1.8,1.2,1,NA,NA,NA,NA
Corie Blount,76.3,3.1,2.6,2.5,1.9,1.8,1.7,1.2,1.1,0.9,0.8,0.7
