,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2007-08,21,PHI,NBA,PF,76,1107,,,,38%,62%,+0.7,+0.8,12,9,69,17,39,3,48,8,35
2009-10,23,PHI,NBA,PF,56,658,,,,48%,52%,-5.2,-0.6,13,11,55,10,21,7,76,4,20
2010-11,24,NOH,NBA,C,77,1102,,,,26%,74%,-0.2,-1.3,17,11,72,14,29,3,77,4,16
2011-12,25,NOH,NBA,PF,40,947,,,,58%,42%,-1.2,+4.4,11,11,39,9,21,4,74,5,22
2012-13,26,NOH,NBA,C,51,876,,,,9%,91%,-3.6,+1.3,14,16,43,20,34,9,78,4,30
2013-14,27,NOP,NBA,PF,31,830,,,,58%,43%,-2.9,-0.4,6,7,44,10,21,2,65,2,21
2014-15,28,NYK,NBA,C,82,1785,,,,,100%,-13.2,-5.5,41,25,89,23,61,11,326,5,33
2015-16,29,ORL,NBA,C,76,1181,,,,12%,88%,-1.7,0.0,18,11,81,23,22,8,144,7,21
2016-17,30,WAS,NBA,C,74,1068,,,,,100%,-0.2,-2.6,23,8,71,21,24,7,86,6,15
2017-18,31,WAS,NBA,C,33,285,,,,,100%,-13.9,-15.9,5,1,20,7,10,4,35,4,8
2018-19,32,TOT,NBA,C-PF,20,190,,,,17%,83%,-12.5,-14.2,4,3,17,5,3,2,34,0,2
2018-19,32,WAS,NBA,C,12,130,,,,,100%,-6.0,-3.1,2,1,12,3,2,1,29,0,2
2018-19,32,MIL,NBA,PF,6,40,,,,83%,17%,-39.1,-48.2,2,1,4,2,1,1,2,0,0
2018-19,32,NOP,NBA,C,2,20,,,,,100%,+0.3,+1.6,0,1,1,0,0,0,3,0,0
Career,,,NBA,,616,10029,,,,23%,77%,-4.2,-1.6,164,113,600,159,285,60,1043,49,223
,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,"NOH,NOP",NBA,,201,3775,,,,37%,63%,-1.8,+0.9,48,46,199,53,105,18,297,15,89
2 seasons,,PHI,NBA,,132,1765,,,,42%,58%,-1.5,+0.3,25,20,124,27,60,10,124,12,55
3 seasons,,WAS,NBA,,119,1483,,,,,100%,-3.3,-5.2,30,10,103,31,36,12,150,10,25
1 season,,NYK,NBA,,82,1785,,,,,100%,-13.2,-5.5,41,25,89,23,61,11,326,5,33
1 season,,ORL,NBA,,76,1181,,,,12%,88%,-1.7,0.0,18,11,81,23,22,8,144,7,21
1 season,,MIL,NBA,,6,40,,,,83%,17%,-39.1,-48.2,2,1,4,2,1,1,2,0,0
