Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1970-71,NA,PTC,ABA,NA,6,NA,44,1,8,0.125,0,0,NA,1,8,0.125,0.125,4,6,0.667,1,5,6,8,5,3,6
Career,NA,,ABA,NA,6,NA,44,1,8,0.125,0,0,NA,1,8,0.125,0.125,4,6,0.667,1,5,6,8,5,3,6
