Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
James Silas,,13.1,9.8,7.9,7.4,7,5.7,5.5,2.4,0.7,0.6
Anfernee Hardaway,89.6,14.4,10.7,8.1,7.8,7.1,5,2.9,2.3,1.1,0.4
Kenny Anderson,88.0,12.4,7.7,7.5,7.3,6.8,4.4,3.7,2.4,1.1,0.5
Michael Redd,87.7,10.8,9.7,8,6.2,6.1,5.8,4.6,3.2,0.6,-0.1
Jeff Mullins,87.6,10,9.9,8.3,8.2,6.8,5.7,5.6,4.5,0.8,-0.3
Mookie Blaylock,87.0,12.5,10.2,9.4,9,7,5.6,4.9,4.7,2.1,-0.3
Bobby Wanzer,87.0,11.4,10.5,9.1,7.9,7,6.9,5.4,4.8,1,NA
Archie Clark,86.5,11.4,11,8.1,7.9,6.2,6.2,5.6,4,2.7,1.7
Gail Goodrich,85.9,12.3,8.1,7.8,6.7,6.4,6.3,5.5,4.4,3.6,0.7
Walter Davis,85.8,10.1,9.4,8.3,8.1,7.1,6.2,5.8,4.2,2.7,0.6
Terrell Brandon,85.4,12.7,10.8,8.6,8.5,5.6,5.1,3.9,3.2,2.9,0.9
