Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Michael Kidd-Gilchrist,,5.8,3.8,3.3,3.1,2.5,2.1,0.6,NA,NA,NA
Gary Trent,89.8,5.5,4,3.3,3.1,3,2.3,1.7,0.4,0.1,NA
Andray Blatche,88.4,4.9,3.7,3.4,3,2.4,1.4,0.5,0.1,-0.1,NA
Jackie Moreland,87.2,5.3,3.6,2.6,2.5,2.3,2.3,0.5,0.1,NA,NA
Andrés Nocioni,86.9,6.7,4.1,3.3,2.8,2.5,1.3,1.3,-0.2,NA,NA
Len Chappell,86.5,4.7,3.7,3.6,3.2,2.9,2.1,0.9,0.5,0.1,0.1
Michael Smith,86.3,5.4,3.7,3.6,3.3,3.1,2.3,2.1,NA,NA,NA
Ronald Franz,85.7,5.9,3.7,3.3,2.2,2.1,0.9,NA,NA,NA,NA
Stromile Swift,84.6,4.8,3.7,3.3,2.9,2.5,1.9,1.4,1,-0.1,NA
Ryan Gomes,84.3,4.8,4.2,3.1,2.5,2.5,2.4,0,-0.2,NA,NA
Terry Catledge,84.1,4.6,3.6,3.5,3.3,2.5,1.7,1.6,0.1,NA,NA
