Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Michael Kidd-Gilchrist,,5.8,3.8,3.3,3.1,2.5,2.1,0.6
Antoine Carr,94.3,5.4,3.8,3.5,3.3,2.2,2.1,0.7
Trevor Ariza,92.1,6.1,3.4,3.4,3.2,2.1,1.8,0.9
Bingo Smith,89.7,6.1,4.2,3.7,3.3,2.4,1.6,1.1
Stromile Swift,89.6,4.8,3.7,3.3,2.9,2.5,1.9,1
Rodney Rogers,87.8,7.4,3.9,3.3,2.9,2.3,2,1.2
Andrés Nocioni,87.5,6.7,4.1,3.3,2.8,2.5,1.3,1.3
Michael Smith,86.3,5.4,3.7,3.6,3.3,3.1,2.3,2.1
Charlie Villanueva,86.3,4.9,3.9,3.5,3.1,1.7,1.7,0.4
George Lynch,86.2,5.8,3.9,2.6,2.5,1.7,1.5,0.9
Phil Jackson,86.0,5.6,4.8,4.2,3.2,2.5,1.7,0.5
