Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
JaKarr Sampson,,0.8,0.6,0.5,0.1,NA
Shawn Respert,91.5,0.8,0.7,0.5,0.1,NA
Pearl Washington,83.6,0.7,0.7,0.5,NA,NA
Keith McLeod,82.3,0.8,0.6,0.3,0.2,NA
Acie Law,77.2,0.7,0.6,0.4,-0.1,NA
Yakhouba Diawara,76.8,0.7,0.5,0.5,-0.1,NA
Gerald Glass,75.1,0.9,0.5,0.3,0.1,NA
DeAndre Liggins,73.7,0.6,0.5,0.5,0,0
Chris Corchiani,72.6,0.9,0.4,0.3,NA,NA
Kris Dunn,71.4,0.9,0.6,0.1,NA,NA
Brooks Thompson,69.0,1.1,0.6,0.2,0.1,NA
