Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Phil Chenier,,8.8,8.8,7.4,5.8,5.5,1.8,1.4,0,0,-0.1
Doug Collins,86.7,10,7.7,7.6,6.2,4.2,1.9,0.7,-0.3,NA,NA
Reggie Lewis,86.3,9.1,8.3,7.5,6.9,6.7,0.4,NA,NA,NA,NA
Doug Christie,85.6,8.7,8.6,7,5.1,4.2,4,1.4,1.4,0.1,-0.3
Ray Williams,84.9,8.2,7.9,7.2,6.2,3.9,1,1,0.9,0.4,0.4
Glen Combs,83.9,8.7,8.6,6.7,5.1,2.7,2.5,0,NA,NA,NA
Darrell Armstrong,83.7,8.7,8,7.6,6.4,5.3,4.9,2.5,1.8,0.1,0.1
Avery Johnson,83.3,9.1,8,6.7,5.2,4.1,3.4,1.6,1.3,0.5,0.3
Jon McGlocklin,82.9,8.9,8.2,7.9,5.8,5.2,3.8,3.4,1.8,1.1,0.9
Don Chaney,82.6,8.7,6.3,5.9,5.8,5.1,2.9,0.8,0.3,-0.1,-0.5
John Wall,82.6,8.8,7.9,7.8,5.7,4.5,3.5,2.7,2.2,1.2,NA
