Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
John Jenkins,,1.7,0.9,0.2,0.2,0,-0.1
Mike Flynn,84.1,1.7,0.8,0.3,NA,NA,NA
Jordan Hamilton,82.0,1.6,0.8,0.3,0.2,0.1,NA
Lloyd Daniels,80.0,1.8,1.1,0.2,0.1,0,NA
Sean Kilpatrick,73.6,1.4,1,0.1,0.1,NA,NA
Ollie Mack,73.3,1.6,1,-0.1,NA,NA,NA
Bubbles Hawkins,72.7,1.9,0.6,0.3,0.1,NA,NA
Tracy Jackson,72.3,1.7,0.7,0,NA,NA,NA
James Anderson,71.6,1.9,0.9,0.5,0.3,-0.3,NA
Emanual Davis,70.1,1.8,0.5,0.3,0.3,-0.1,-0.3
Sidney Lowe,70.0,1.7,1.5,0.5,0.3,NA,NA
