Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Negele Knight,,3.2,0.6,0.5,0.1,-0.1,-0.2
Pete Myers,80.4,3,0.5,0.3,0,0,-0.1
Franklin Edwards,73.8,2.7,0.8,0.6,0.2,0.1,-0.3
Harold Ellis,68.5,2.8,0.9,0.9,NA,NA,NA
Dan Dickau,65.9,3.5,1.5,0.4,0.4,0,0
Mike Evans,65.6,2.9,1.6,0.9,0.1,-0.1,-0.2
Jerry Harkness,64.8,2.9,0.5,0,NA,NA,NA
Angelo Musi,62.7,3.5,1.3,1.1,NA,NA,NA
Jeffrey Congdon,61.5,4.3,0.9,0.7,0.3,0,NA
Paul Thompson,61.5,3.7,1.1,0.1,NA,NA,NA
Ben McLemore,61.1,2.5,0.8,0.5,0.4,0.3,0.2
