Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Negele Knight,,3.2,0.6,0.5,0.1,-0.1,-0.2,NA,NA,NA
Franklin Edwards,69.7,2.7,0.8,0.6,0.2,0.1,-0.2,-0.3,NA,NA
Harold Ellis,68.5,2.8,0.9,0.9,NA,NA,NA,NA,NA,NA
Dan Dickau,65.9,3.5,1.5,0.4,0.4,0,0,NA,NA,NA
Jerry Harkness,64.8,2.9,0.5,0,NA,NA,NA,NA,NA,NA
Angelo Musi,62.7,3.5,1.3,1.1,NA,NA,NA,NA,NA,NA
Pete Myers,61.8,3,1.3,0.6,0.5,0.3,0.1,0,0,-0.1
Jeffrey Congdon,61.5,4.3,0.9,0.7,0.3,0,NA,NA,NA,NA
Paul Thompson,61.5,3.7,1.1,0.1,NA,NA,NA,NA,NA,NA
Ben McLemore,61.1,2.5,0.8,0.5,0.4,0.3,0.2,NA,NA,NA
Ralph Johnson,61.0,2.9,1.6,0.8,0,NA,NA,NA,NA,NA
