Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Mitchell Butler,,1.1,0.6,0.5,0.5,0.3,0.1,0.1,-0.2
Royal Ivey,76.5,0.9,0.7,0.6,0.5,0.3,0.2,0.2,0.2
Reggie Jordan,74.9,1.2,0.8,0.6,0.4,0.3,-0.2,NA,NA
Sebastian Telfair,71.1,1.1,0.8,0.7,0.6,0.5,0.3,0.1,-0.4
MarShon Brooks,69.4,1.3,0.8,0.7,0.4,0.1,NA,NA,NA
Nik Stauskas,66.6,1.4,1.1,0.5,0.5,0.3,NA,NA,NA
Mike Wilks,61.5,0.8,0.7,0.6,0.5,0.2,0,-0.3,NA
Morlon Wiley,61.1,1.1,0.9,0.5,0.2,0.1,0.1,-0.2,NA
Steve Alford,60.3,1.4,0.9,0.6,0.3,NA,NA,NA,NA
John Warren,59.5,1.7,0.9,0.8,0.5,0.3,NA,NA,NA
Doug Overton,56.7,1.7,0.9,0.6,0.4,0.2,0.1,-0.2,-0.4
