Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Mitchell Butler,,1.1,0.6,0.5,0.5,0.3,0.1,0.1,-0.2,NA,NA
Reggie Jordan,74.9,1.2,0.8,0.6,0.4,0.3,-0.2,NA,NA,NA,NA
MarShon Brooks,69.4,1.3,0.8,0.7,0.4,0.1,NA,NA,NA,NA,NA
Nik Stauskas,66.6,1.4,1.1,0.5,0.5,0.3,NA,NA,NA,NA,NA
Mike Wilks,61.5,0.8,0.7,0.6,0.5,0.2,0,-0.3,NA,NA,NA
Morlon Wiley,61.1,1.1,0.9,0.5,0.2,0.1,0.1,-0.2,NA,NA,NA
Steve Alford,60.3,1.4,0.9,0.6,0.3,NA,NA,NA,NA,NA,NA
John Warren,59.5,1.7,0.9,0.8,0.5,0.3,NA,NA,NA,NA,NA
Royal Ivey,57.9,1,0.9,0.7,0.6,0.5,0.3,0.2,0.2,0.2,0
Isaiah Canaan,56.3,1.4,1.4,0.6,0.5,0.2,0.1,NA,NA,NA,NA
Brook Steppe,53.5,1.3,1.1,1,0.7,0.6,NA,NA,NA,NA,NA
