Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Justin Reed,,0.4,0.3,-0.2,NA,NA,NA
Riney Lochmann,83.3,0.4,0.3,-0.2,NA,NA,NA
Henry Ellenson,54.4,0.4,0.1,-0.2,NA,NA,NA
Devin Ebanks,54.0,0.4,0.3,-0.1,NA,NA,NA
Gene James,50.8,0.5,0.3,0.1,NA,NA,NA
Josh Davis,40.6,0.5,0.3,0,0,NA,NA
Eddie Mast,38.7,0.4,0.1,-0.2,NA,NA,NA
Alex Poythress,34.8,0.5,0.3,0.1,NA,NA,NA
Mark Randall,33.4,0.5,0.3,0.2,0,NA,NA
Anthony Cook,33.3,0.5,0.4,0.1,0.1,NA,NA
Adrian Caldwell,28.6,0.4,0.3,0.2,0.1,0,0
