Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,24,LAL,NBA,SG,33,NA,229,7.1,17.5,0.409,5.6,9,0.625,3,3,6,4.3,1.7,1.1,6.2,19.9,NA,NA,100
1974-75,25,PHO,NBA,SG,50,NA,618,8.8,21.4,0.411,4.5,7,0.649,2.5,4.3,6.8,2.9,2.2,1.6,7,22.1,NA,NA,98
1975-76,26,PHO,NBA,SG,79,NA,1144,7.2,16.8,0.43,4.6,6.8,0.676,3.4,4.9,8.3,1.8,1.3,0.6,5.8,19,NA,NA,100
Career,NA,,NBA,,162,NA,1991,7.7,18.3,0.421,4.7,7.1,0.66,3.1,4.5,7.6,2.5,1.6,1,6.2,20.1,NA,NA,99
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,PHO,NBA,,129,NA,1762,7.8,18.4,0.423,4.6,6.8,0.667,3.1,4.7,7.8,2.2,1.6,0.9,6.2,20.1,NA,NA,99
1 season,NA,LAL,NBA,,33,NA,229,7.1,17.5,0.409,5.6,9,0.625,3,3,6,4.3,1.7,1.1,6.2,19.9,NA,NA,100
