Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
George Lehmann,,7.3,5.9,2.5,2.3,0.7,0,0
Bojan Bogdanović,89.8,6.8,5.4,2.9,2.4,0.9,NA,NA
Josh Richardson,82.1,5.6,5.4,2.5,2.2,NA,NA,NA
Beno Udrih,82.0,7.2,5.5,3.1,2.4,1.3,1.2,1
Steve Kerr,81.7,6.1,5.9,3.2,2.4,1.3,0.6,0.4
Raja Bell,81.3,6.8,5.8,3.7,2.2,1.7,1.1,-0.1
Bobby Simmons,81.3,6.8,5.3,3.4,2,0.9,0.7,0.7
Scott Skiles,81.0,8,7,3.2,2,1.3,0.3,-0.2
Dražen Petrović,79.5,8.4,7.7,2.8,2.5,NA,NA,NA
Monta Ellis,77.8,9,6,4,2.6,1.3,0.5,0.2
Mike James,77.7,7.6,5.2,4.3,2.8,1.8,0.3,0
