Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
George Lehmann,,7.3,5.9,2.5,2.3,0.7,0,0,NA,NA,NA,NA,NA
Bojan Bogdanović,89.8,6.8,5.4,2.9,2.4,0.9,NA,NA,NA,NA,NA,NA,NA
Lance Stephenson,85.2,7.4,5.5,2.2,1.8,1.1,0.1,-0.2,-0.3,-0.9,NA,NA,NA
Josh Richardson,82.1,5.6,5.4,2.5,2.2,NA,NA,NA,NA,NA,NA,NA,NA
Bobby Simmons,80.0,6.8,5.3,3.4,2,0.9,0.7,0.7,0.3,0.1,0,NA,NA
Dražen Petrović,79.5,8.4,7.7,2.8,2.5,NA,NA,NA,NA,NA,NA,NA,NA
Paul Walther,77.3,6.6,5.2,3.1,2.2,2,1.3,NA,NA,NA,NA,NA,NA
Tyler Johnson,76.7,5.8,4.2,2.3,2,0.8,NA,NA,NA,NA,NA,NA,NA
Mike James,74.3,7.6,5.2,4.3,2.8,1.8,0.4,0.3,0.3,0,-0.1,-0.1,-0.1
Bob Verga,72.7,8.2,3.8,3.3,2.8,1.5,0.1,NA,NA,NA,NA,NA,NA
Buddy Jeannette,72.6,8.2,4.9,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
