Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Trey Burke,,2.4,2.4,2.1,1.9,0.9,0.5
Nick Young,85.8,2.8,2.3,1.9,1.4,1.2,0.4
Jordan Clarkson,85.5,3,2.4,2.1,1.8,1.2,NA
Dell Curry,85.5,3.2,2.7,2,1.8,0.9,0.5
Ledell Eackles,84.1,2.4,2.1,2,1.2,1,1
Anthony Bowie,83.5,2.9,2.5,2,1.3,0.7,0.5
Clint Richardson,83.0,3.3,2.4,1.9,1.8,1.1,1
Marko Jarić,81.8,2.8,2.4,2.3,1.9,1.5,1.5
Robert Pack,81.1,3.1,2.7,2.2,1.7,1.1,1.1
Earl Watson,80.9,2.7,2.3,2.3,2,1.8,1.5
Iman Shumpert,80.5,2.4,2,2,1.9,1.7,1.5
