Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
John Mengelt,,4,3.9,3.9,3.7,3.5,3.2,3,2.3,0.6,-0.1
Trent Tucker,86.8,4.6,4,4,3.4,3.3,3.3,3,2.9,1.9,1.1
Mike Gale,85.4,4.7,4,3.9,3.6,3.4,3.3,2.6,2.4,2.2,2
Allen Leavell,84.4,5.1,4.8,4.3,4,3.8,3,2.4,1.9,0.6,-0.1
John Long,84.2,5.3,4.7,3.9,3.6,3.6,3.3,2.4,2.1,2,0.2
Sherman Douglas,83.5,5.4,4.6,4.4,4.2,4,3.3,2.7,2.6,1,-0.1
C.J. Watson,83.4,4,3.8,3.3,3.2,3.1,2.6,2.1,0.9,0.6,0.4
Anthony Peeler,83.3,4.1,3.8,3.7,3.2,2.7,2.5,2.4,1.1,0.8,0.6
Ricky Sobers,82.8,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,1,0.1
Eric Gordon,81.8,5.3,4.7,4.6,3.8,3.2,2.9,2.5,2.1,1.1,0.7
T.R. Dunn,81.5,4.9,4.4,4.4,4.1,4,3.7,3.3,2.4,1.6,1.6
