Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
John Mengelt,,4,3.9,3.9,3.7,3.5,3.2,3,2.3,0.6,-0.1,NA,NA,NA,NA
Allen Leavell,84.4,5.1,4.8,4.3,4,3.8,3,2.4,1.9,0.6,-0.1,NA,NA,NA,NA
C.J. Watson,83.4,4,3.8,3.3,3.2,3.1,2.6,2.1,0.9,0.6,0.4,NA,NA,NA,NA
John Long,82.4,5.3,4.7,3.9,3.6,3.6,3.3,2.4,2.1,2,0.5,0.2,0.2,0.2,0.1
Anthony Peeler,82.3,4.1,3.8,3.7,3.4,3.2,2.7,2.5,2.4,2.2,1.1,0.8,0.6,0.5,NA
Rex Chapman,81.7,4.5,4.2,3.9,3.3,3,2.5,1.9,1.4,0.9,0.1,-0.2,-0.7,NA,NA
Sherman Douglas,81.7,5.4,4.6,4.4,4.2,4,3.3,2.7,2.6,1,0.6,0.2,-0.1,NA,NA
Mario Chalmers,81.3,5.2,5.2,4.8,4.3,3.8,2.9,2.8,2.7,0.6,NA,NA,NA,NA,NA
Mike Glenn,81.1,4.4,3.9,2.9,2.9,2.8,2.8,2.1,1.9,1.5,0.1,NA,NA,NA,NA
Mike Gale,81.0,4.7,4,3.9,3.6,3.4,3.3,2.6,2.4,2.4,2.2,2,NA,NA,NA
Trent Tucker,81.0,4.6,4,4,3.4,3.3,3.3,3,2.9,2.8,1.9,1.1,NA,NA,NA
