Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Cory Alexander,,2.2,1.1,0.2,0,-0.1,-0.1,-0.3
Jannero Pargo,84.1,2,1.1,0.2,0.1,0.1,-0.1,-0.3
Kevin O'Shea,77.2,2.1,1.2,0.5,NA,NA,NA,NA
Alexey Shved,76.8,2.2,0.8,0.2,NA,NA,NA,NA
Chink Crossin,76.6,2.1,1.2,0.5,NA,NA,NA,NA
Lloyd Daniels,74.1,1.8,1.1,0.2,0.1,0,NA,NA
Courtney Alexander,73.8,2.2,1.1,0.8,NA,NA,NA,NA
Steve Bracey,73.4,2.1,1.5,0.3,NA,NA,NA,NA
Ian Clark,67.4,2.3,1.1,0.9,0.2,-0.1,-0.1,NA
John Lucas III,66.0,2.2,1.1,0.6,0.3,0,-0.1,-0.7
Trajan Langdon,62.9,2,0.6,0.3,NA,NA,NA,NA
