Season,Team,Lg,Salary
1995-96,San Antonio Spurs,NBA,"$490,000"
1996-97,San Antonio Spurs,NBA,"$521,000"
1997-98,San Antonio Spurs,NBA,"$562,380"
1999-00,Denver Nuggets,NBA,"$1,980,000"
2000-01,Denver Nuggets,NBA,"$2,160,000"
2001-02,Denver Nuggets,NBA,"$1,995,741"
2002-03,Denver Nuggets,NBA,"$2,149,259"
2003-04,Denver Nuggets,NBA,"$2,302,778"
Career,(may be incomplete),,"$12,161,158"
