Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Jakob Pöltl,,5.6,5.1,1.6,NA,NA,NA,NA,NA
Skip Thoren,83.2,7,4.4,1.6,NA,NA,NA,NA,NA
Primož Brezec,77.1,4.9,4.6,0.7,0.3,0.2,0.1,0.1,0
Fabricio Oberto,76.0,6.1,4.1,1.7,1.1,0.6,0,NA,NA
Bob Houbregs,75.8,6.9,4.5,2.8,0.2,NA,NA,NA,NA
Manny Leaks,75.2,7.3,5.2,1.1,0.8,0.2,-0.2,NA,NA
Lee Knorek,70.4,5.1,2.5,1.7,0,NA,NA,NA,NA
Joel Embiid,68.8,8.7,6.2,1.9,NA,NA,NA,NA,NA
Jusuf Nurkić,66.6,7.8,4.7,2,1.6,0.4,NA,NA,NA
Joe Strawder,64.6,4.3,3.6,3,NA,NA,NA,NA,NA
Ed Johnson,64.5,5.1,2.4,1,NA,NA,NA,NA,NA
