Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Eric Fernsten,,1.2,1,0.5,0.5,0.2,0
Steve Hayes,86.3,1.2,0.9,0.3,0.3,0.2,NA
Jawann Oldham,83.9,1.3,1,0.5,0.3,0,0
Connie Dierking,76.7,1.4,1,0.7,0.5,0.5,0.1
Mark McNamara,70.9,1.2,0.7,0.6,0.4,0,-0.2
Johan Petro,70.4,1.7,1,0.8,0.4,0.4,0.2
Earl Williams,69.6,1.3,1,0.4,0,NA,NA
Stuart Gray,68.9,1.1,0.9,0.7,0.6,0.4,-0.4
Dick Cunningham,68.0,1.2,1,1,1,0,0
Žan Tabak,67.9,1.1,0.9,0.2,0.1,0.1,0
Roger Brown,63.7,0.9,0.7,0.4,0.2,0.1,NA
