Season,Team,Lg,Salary
1998-99,Atlanta Hawks,NBA,"$740,000"
1999-00,Atlanta Hawks,NBA,"$914,760"
2000-01,Atlanta Hawks,NBA,"$978,600"
2001-02,Boston Celtics,NBA,"$1,509,001"
Career,(may be incomplete),,"$4,142,361"
