Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Roshown McLeod,,0.4,0.3,-0.4,NA,NA,NA
Justin Reed,15.0,0.4,0.3,-0.2,NA,NA,NA
Devin Ebanks,7.1,0.4,0.3,-0.1,NA,NA,NA
Riney Lochmann,1.8,0.4,0.3,-0.2,NA,NA,NA
Gene James,-21.4,0.5,0.3,0.1,NA,NA,NA
DeAndre' Bembry,-21.5,0.9,0.3,-0.4,NA,NA,NA
Henry Ellenson,-31.9,0.4,0.1,-0.2,NA,NA,NA
Alex Poythress,-31.9,0.5,0.3,0.1,NA,NA,NA
Quincy Lewis,-32.0,0.3,0.3,0.1,0,NA,NA
Anthony Cook,-32.9,0.5,0.4,0.1,0.1,NA,NA
Adrian Caldwell,-33.8,0.4,0.3,0.2,0.1,0,0
