Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Bingo Smith,,6.1,4.2,4.2,3.7,3.3,2.5,2.4,2.1,2.1,1.6,1.1
Tim Thomas,92.9,5.5,4.1,3.9,3.8,3.4,2.9,2.2,2.2,2.2,1.7,0.9
John Johnson,90.3,6.2,4.9,4.6,4.3,4,2.7,2.5,2.3,2.1,2.1,1.2
Matt Bonner,88.7,6.8,4.4,4.2,4.1,4,3.7,2.5,2.2,2.1,2,1.8
Patrick Patterson,88.1,6.1,4.1,3.8,3.6,3.3,2.6,2.4,1.6,1.1,NA,NA
Clyde Lee,87.8,6.1,5.1,3.5,3.4,3.2,3.1,2.6,2.2,2.2,2.1,NA
Ray Scott,87.8,5.5,5.3,4.5,3.5,3.4,3,2.5,2.5,2.4,1.3,0.9
Cliff Robinson,86.8,5.6,4.4,3.6,3.5,3.1,2.9,2.6,2.5,2.1,0.3,0.1
Danny Ferry,85.6,5.6,5.5,4.1,3.9,3.6,2.7,1.7,1.7,1.3,1,1
Tom Van Arsdale,85.6,5.5,5,4.8,4.4,4,3.1,2.7,2.2,1.6,1.4,1
Lorenzen Wright,85.4,5.2,3.7,3.2,3.2,3.2,3.1,2.5,2.2,2.2,1.4,0.7
