,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1958-59,22,SYR,NBA,,8,,7,10,,,,19
1959-60,23,SYR,NBA,,9,,9,11,,,,22
1963-64,27,PHI,NBA,,7,,8,10,,,,18
1964-65,28,TOT,NBA,,12,28,6,10,19,5,6,30
1964-65,28,PHI,NBA,,9,16,6,7,14,5,6,21
1964-65,28,SFW,NBA,,12,28,6,10,19,5,6,30
1965-66,29,CIN,NBA,,10,,6,7,,,,23
1966-67,30,CIN,NBA,,11,,9,12,,,,26
1967-68,31,CIN,NBA,,17,,15,15,,,,41
1968-69,32,CIN,NBA,,14,,15,18,,,,36
1969-70,33,CIN,NBA,,17,,17,21,,,,45
1970-71,34,TOT,NBA,,9,,7,9,,,,20
1970-71,34,CIN,NBA,,3,16,0,0,7,1,5,6
1970-71,34,PHI,NBA,,9,,7,9,,,,20
Career,,,,,17,,17,21,,,,45
6 Seasons,,CIN,NBA,,17,,17,21,,,,45
5 Seasons,,"PHI,SYR",NBA,,9,,9,11,,,,22
1 Season,,SFW,NBA,,12,28,6,10,19,5,6,30
