Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Connie Dierking,,4.2,3,1.5,1.4,1,0.7,0.5,0.5,0.3,0.1
Jim Krebs,85.1,4.2,2.8,1.5,1.3,1.3,1.2,0.1,NA,NA,NA
Marc Jackson,81.0,4.6,2.6,2,1.3,1.2,0.7,0.6,NA,NA,NA
Cherokee Parks,77.3,3.8,2.2,1.9,1.4,1.2,0.9,0.2,0.1,0,NA
Manute Bol,77.0,3.9,2.4,2,1.7,1.3,0.8,0.2,0.1,0,-0.2
Duane Causwell,77.0,3.9,2.9,2.8,1.8,1.3,1.2,0.7,0.7,0.5,0
Hank Finkel,77.0,3.4,3.4,2.3,1.2,1,0.9,0.9,0.4,0,NA
Carlos Rogers,76.1,4,2.2,2,0.9,0.9,0.5,0.5,0,NA,NA
Chris Mihm,74.0,4,3.6,2.9,1.3,0.9,0.7,0.1,0,NA,NA
Joel Anthony,73.6,3.4,3.3,3.1,1.7,1.2,1.2,0.6,0.4,0.4,0.2
George Peeples,73.0,4.1,3.2,2.1,1.5,0.2,0,NA,NA,NA,NA
