,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1974-75,24,CHI,NBA,,4,9,4,6,,,8,3,,,4,8
1975-76,25,CHI,NBA,,8,,7,8,,,,,,,,19
Career,,,,,8,,7,8,,,,,,,,19
