Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Sean Marks,,1.2,0.6,0.3,0.3,0.2,0.2,0.1,0,0,0,-0.2
Loren Woods,66.8,1.1,0.7,0.5,0.4,0.4,0.1,NA,NA,NA,NA,NA
Maceo Baston,65.8,1.1,0.5,0.4,0.3,NA,NA,NA,NA,NA,NA,NA
Ben McDonald,65.1,1.3,0.7,0.3,0.2,NA,NA,NA,NA,NA,NA,NA
Shavlik Randolph,64.6,1.1,0.7,0.4,0.1,0,0,0,0,NA,NA,NA
Joe Holland,60.8,1.2,0.6,0.2,NA,NA,NA,NA,NA,NA,NA,NA
Tremaine Fowlkes,60.5,1.2,0.5,0.4,0,NA,NA,NA,NA,NA,NA,NA
Jerome Lane,60.0,1.2,0.6,0.5,0.1,-0.2,NA,NA,NA,NA,NA,NA
Henry James,59.9,2,0.6,0.3,0.3,0.2,0.1,0.1,NA,NA,NA,NA
Ray Tolbert,58.9,1.1,0.8,0.7,0.3,0,NA,NA,NA,NA,NA,NA
Ronald Dupree,58.8,1,0.5,0.3,0.1,0,0,NA,NA,NA,NA,NA
