Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Trajan Langdon,,2,0.6,0.3,NA,NA
Kedrick Brown,93.6,2,0.5,0.4,0.1,NA
Bubbles Hawkins,90.9,1.9,0.6,0.3,0.1,NA
Alexey Shved,86.5,2.2,0.8,0.2,NA,NA
Win Wilfong,84.7,2.1,0.6,0.2,-0.3,NA
Kevin Williams,84.5,1.9,0.6,0.1,0.1,-0.1
Treveon Graham,84.1,1.8,0.5,0.4,NA,NA
Felipe López,82.7,1.9,0.5,0.4,0.3,NA
Jerry Eaves,81.5,2,0.7,0,-0.1,NA
Patrick McCaw,80.8,1.7,0.6,0.5,NA,NA
Danuel House,80.2,2.3,0.6,0,NA,NA
