,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1965-66,21,SFW,NBA,,6,,6,7,,,,,,,,12
1966-67,22,CHI,NBA,,12,20,9,10,,,13,6,,,6,28
1967-68,23,CHI,NBA,,15,,11,13,,,,,,,,34
1968-69,24,LAL,NBA,,14,,6,10,,,,,,,,30
1969-70,25,LAL,NBA,,12,,7,9,,,,,,,,29
1970-71,26,LAL,NBA,,12,,5,7,,,,,,,,29
1971-72,27,LAL,NBA,,6,10,3,3,,,6,8,,,5,12
1972-73,28,LAL,NBA,,9,,6,6,,,,,,,,21
1973-74,29,PHO,NBA,,17,23,9,12,5,12,15,8,4,,6,40
1974-75,30,PHO,NBA,,11,24,7,10,5,8,10,10,4,2,6,29
1975-76,31,PHO,NBA,,12,22,8,9,5,9,11,8,4,1,6,26
1976-77,32,PHO,NBA,,7,15,5,7,,,8,7,,,,19
Career,,,,,17,,11,13,,,,,,,,40
5 Seasons,,LAL,NBA,,14,,7,10,,,,,,,,30
4 Seasons,,PHO,NBA,,17,24,9,12,,,15,10,,,,40
2 Seasons,,CHI,NBA,,15,,11,13,,,,,,,,34
1 Season,,SFW,NBA,,6,,6,7,,,,,,,,12
