Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,22,CHI,NBA,SF,3,NA,68,12,27,0.444,0,0,NA,NA,NA,11,4,NA,NA,12,24
1967-68,23,CHI,NBA,SF,5,NA,183,25,65,0.385,15,17,0.882,NA,NA,41,11,NA,NA,19,65
1968-69,24,LAL,NBA,SG,18,NA,446,56,142,0.394,15,25,0.6,NA,NA,86,40,NA,NA,64,127
1969-70,25,LAL,NBA,SF,17,NA,553,71,153,0.464,27,35,0.771,NA,NA,77,74,NA,NA,44,169
1970-71,26,LAL,NBA,SF,8,NA,313,54,99,0.545,17,22,0.773,NA,NA,45,22,NA,NA,34,125
1972-73,28,LAL,NBA,SF,17,NA,404,66,147,0.449,15,22,0.682,NA,NA,59,30,NA,NA,52,147
1975-76,31,PHO,NBA,SF,19,NA,426,80,173,0.462,55,68,0.809,15,52,67,35,11,4,61,215
Career,NA,,NBA,,87,NA,2393,364,806,0.452,144,189,0.762,15,52,386,216,11,4,286,872
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,LAL,NBA,,60,NA,1716,247,541,0.457,74,104,0.712,NA,NA,267,166,NA,NA,194,568
1 season,NA,PHO,NBA,,19,NA,426,80,173,0.462,55,68,0.809,15,52,67,35,11,4,61,215
2 seasons,NA,CHI,NBA,,8,NA,251,37,92,0.402,15,17,0.882,NA,NA,52,15,NA,NA,31,89
