Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,29,PHO,NBA,SF,66,NA,2033,8.5,17.8,0.477,3.8,4.8,0.801,2,6.9,8.9,4.4,1.4,0.4,4.2,20.8,NA,NA,101
1974-75,30,PHO,NBA,SF,49,NA,1469,7.4,17.4,0.425,4.1,4.9,0.833,2.2,5.4,7.6,5.3,1.6,0.4,4.7,18.9,NA,NA,100
1975-76,31,PHO,NBA,SF,74,NA,1850,7.5,15.9,0.47,3.3,3.9,0.854,2.6,5.6,8.2,4.5,1.9,0.1,4.8,18.3,NA,NA,99
1976-77,32,PHO,NBA,SF,50,NA,949,6.7,13.9,0.483,1.8,2.4,0.74,1.7,5.1,6.8,4.9,1.4,0.3,5.8,15.2,NA,NA,99
Career,NA,,NBA,,239,NA,6301,7.7,16.6,0.435,3.4,4.2,0.769,2.2,5.9,8.1,4.7,1.6,0.3,4.7,18.8,NA,NA,100
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,PHO,NBA,,239,NA,6301,7.7,16.6,0.463,3.4,4.2,0.818,2.2,5.9,8.1,4.7,1.6,0.3,4.7,18.8,NA,NA,100
2 seasons,NA,CHI,NBA,,0,NA,0,NA,NA,0.387,NA,NA,0.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,SFW,NBA,,0,NA,0,NA,NA,0.356,NA,NA,0.662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,LAL,NBA,,0,NA,0,NA,NA,0.447,NA,NA,0.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
