,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,22,CHI,NBA,,8,13,0,0,,,6,3,,,6,16
1967-68,23,CHI,NBA,,8,15,8,8,,,10,5,,,5,20
1968-69,24,LAL,NBA,,8,20,3,7,,,10,4,,,6,16
1969-70,25,LAL,NBA,,9,17,5,8,,,11,7,,,5,19
1970-71,26,LAL,NBA,,10,16,4,5,,,8,5,,,6,23
1972-73,28,LAL,NBA,,9,15,3,5,,,6,5,,,6,18
1975-76,31,PHO,NBA,,11,18,9,13,,,6,5,,,6,31
Career,,,,,11,20,9,13,,,11,7,,,6,31
4 Seasons,,LAL,NBA,,10,20,5,8,,,11,7,,,6,23
1 Season,,PHO,NBA,,11,18,9,13,,,6,5,,,6,31
2 Seasons,,CHI,NBA,,8,15,8,8,,,10,5,,,6,20
