Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1966-67,22,CHI,NBA,SF,3,68,8.7,0.444,0,NA,NA,NA,8.6,NA,NA,NA,0,0,0,-0.002,NA,NA,NA,NA,NA
1967-68,23,CHI,NBA,SF,5,183,12.1,0.448,0.262,NA,NA,NA,9.1,NA,NA,NA,0,0.2,0.1,0.039,NA,NA,NA,NA,NA
1968-69,24,LAL,NBA,SG,18,446,8.9,0.415,0.176,NA,NA,NA,12.8,NA,NA,NA,-0.2,0.6,0.4,0.041,NA,NA,NA,NA,NA
1969-70,25,LAL,NBA,SF,17,553,11.3,0.502,0.229,NA,NA,NA,16.9,NA,NA,NA,0.4,0.4,0.8,0.071,NA,NA,NA,NA,NA
1970-71,26,LAL,NBA,SF,8,313,14.2,0.575,0.222,NA,NA,7,10.7,NA,NA,NA,0.8,0.1,0.9,0.143,NA,NA,NA,NA,NA
1972-73,28,LAL,NBA,SF,17,404,10.9,0.469,0.15,NA,NA,6.6,10.8,NA,NA,NA,0.2,0.4,0.6,0.069,NA,NA,NA,NA,NA
1975-76,31,PHO,NBA,SF,19,426,14.7,0.53,0.393,3.7,13.4,8.4,12.6,1.2,0.5,NA,0.4,0.4,0.8,0.09,NA,-0.4,-0.7,-1,0.1
Career,NA,,NBA,,87,2393,11.7,0.49,0.234,3.7,13.4,7.4,12.7,1.2,0.5,NA,1.6,2.1,3.7,0.074,NA,-0.4,-0.7,-1,0.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,LAL,NBA,,60,1716,11.1,0.484,0.192,NA,NA,6.8,13.3,NA,NA,NA,1.2,1.5,2.7,0.076,NA,NA,NA,NA,NA
1 season,NA,PHO,NBA,,19,426,14.7,0.53,0.393,3.7,13.4,8.4,12.6,1.2,0.5,NA,0.4,0.4,0.8,0.09,NA,-0.4,-0.7,-1,0.1
2 seasons,NA,CHI,NBA,,8,251,11.1,0.447,0.185,NA,NA,NA,8.9,NA,NA,NA,0,0.2,0.1,0.028,NA,NA,NA,NA,NA
