Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1968-69,22,TOT,TOT,C,9,43,-0.6,0.294,0,0.214,NA,NA,0,0,NA,0,NA,-0.1,0,-0.1,-0.137
1968-69,22,PHO,NBA,,8,40,-0.1,0.294,NA,0.214,NA,NA,NA,0,NA,NA,NA,-0.1,0,-0.1,-0.148
1968-69,22,NYA,ABA,C,1,3,-7,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,0,0.007
Career,NA,,TOT,,9,43,-0.6,0.294,0,0.214,NA,NA,0,0,NA,0,NA,-0.1,0,-0.1,-0.137
,NA,,NBA,,8,40,-0.1,0.294,NA,0.214,NA,NA,NA,0,NA,NA,NA,-0.1,0,-0.1,-0.148
,NA,,ABA,,1,3,-7,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,0,0.007
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,PHO,NBA,,8,40,-0.1,0.294,NA,0.214,NA,NA,NA,0,NA,NA,NA,-0.1,0,-0.1,-0.148
1 season,NA,NYA,ABA,,1,3,-7,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,0,0.007
