Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Rudy White,,0.2,0.2,0.1,0,-0.3
Anthony Roberson,12.9,0.2,0.2,0.1,NA,NA
Drew Barry,11.2,0.3,0.2,0.1,NA,NA
Randy Woods,3.1,0.3,0.2,0.1,0.1,NA
Lance Blanks,2.9,0.4,0.2,0.1,NA,NA
Xavier Henry,0.2,0.3,0.2,0.2,0,-0.1
Rusty LaRue,0.1,0.3,0.3,0.1,-0.1,-0.1
Jorge Gutiérrez,-5.9,0.3,0.3,0.2,NA,NA
Milt Williams,-11.4,0.4,0.2,0.1,0.1,NA
Julyan Stone,-12.3,0.4,0.3,0.2,0.1,NA
Mike Price,-16.1,0.2,0.2,0.1,NA,NA
