,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,26,NOB,ABA,,4,,0,,,,5,7,,,,,,,,,11
1968-69,27,NOB,ABA,,9,,1,,,,4,4,,,,,,,,,19
1970-71,29,MMP,ABA,,4,,0,,,,4,5,,,,,,,,,12
1972-73,31,UTS,ABA,,4,,0,,,,3,3,,,,,,,,,10
1973-74,32,UTS,ABA,,7,,0,,,,3,4,,,,,,,,,17
1974-75,33,UTS,ABA,,1,,0,,,,1,3,,,,,,,,,2
Career,,,,,9,,1,,,,5,7,,,,,,,,,19
3 Seasons,,UTS,ABA,,7,,0,,,,3,4,,,,,,,,,17
3 Seasons,,"MMP,NOB",ABA,,9,,1,,,,5,7,,,,,,,,,19
