Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Gerald Govan,,5.6,5.4,4.1,3.4,2.6,2.5,2.4,1,0.1
Phil Jackson,92.6,5.6,4.8,4.2,3.2,2.5,2.5,1.7,0.9,0.5
Billy Owens,91.9,5.7,5.6,3.7,3.2,3.2,2.8,2.2,1.2,0.2
Phil Hubbard,89.5,5.7,4.6,4.5,3.4,3.3,2.7,2.6,1.6,0.2
Ben Poquette,89.1,5.4,5,4.9,3.5,3.4,2.5,2.3,1.3,0.6
Malik Rose,88.8,5.2,4.4,3.8,3.4,3.3,2.6,2.6,1.1,0.4
Austin Croshere,88.0,5.4,4.1,4.1,3.4,3.2,2.6,2,0.3,0
Antoine Carr,87.8,5.5,5.4,4,3.8,3.5,3.3,2.2,2.1,0.7
Ray Scott,87.8,5.5,5.3,4.5,3.5,3.4,2.5,2.5,2.4,1.3
Chuck Person,87.5,5.4,5.4,4.6,3.9,3.6,3.3,3,1.2,0
Tom Van Arsdale,87.3,5.5,5,4.8,4,3.1,2.7,2.2,1.4,1
