Thru 14 Years,Thru 14 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Kendrick Perkins,,6.2,5.6,5.2,2.5,2.3,2,1.4,1,0.8,0.7,0.1,0.1,0,-0.1
Scot Pollard,89.2,6.8,5.4,5.1,2.1,1.9,1.4,1.1,1,0.9,0.6,0.2,NA,NA,NA
Connie Simmons,87.3,6.1,5.7,5.3,3.3,2.6,2.5,2.4,1.1,0.1,NA,NA,NA,NA,NA
Gorgui Dieng,81.8,5.9,5.7,4.9,2.9,2.8,2.2,NA,NA,NA,NA,NA,NA,NA,NA
Andris Biedriņš,81.3,8,6.7,5.4,2.9,2.6,1.6,1.3,1.2,1.1,0,NA,NA,NA,NA
Sam Bowie,79.9,5.7,4.7,4.6,4.3,2.6,2.4,1.1,0.8,0.5,0.1,NA,NA,NA,NA
Jamaal Magloire,79.6,7.6,6.7,5.7,2.6,2,1.3,1.1,0.6,0.6,0.3,-0.2,-0.6,NA,NA
Joel Przybilla,79.3,6.6,4.7,4.3,2.3,1.9,1.4,0.6,0.5,0.3,0.3,0.1,0.1,0,NA
Matt Geiger,78.9,5.9,4.7,4.5,4.3,2.7,2.6,1.9,1.2,0.7,-0.1,NA,NA,NA,NA
JaVale McGee,78.9,5.9,5.3,4.9,4.1,3.5,2.7,2.1,2,1.1,0.4,-0.1,NA,NA,NA
Chris Kaman,78.7,6.1,3.6,3.3,2.9,2.4,2.1,1.6,0.8,0.7,0.6,0.5,0.1,0,NA
