Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Dan O'Sullivan,,0.1,0.1,0,0,NA
Joe Cooper,57.3,0.2,0.1,0,NA,NA
Tom Riker,46.8,0.2,0.2,0,NA,NA
Mouhamed Sene,40.0,0.2,0.2,0,NA,NA
Ruben Boumtje-Boumtje,19.9,0.2,0,0,NA,NA
Rich King,18.7,0.2,0.1,0,-0.1,NA
Paul Davis,15.8,0.2,0.2,0,0,NA
Patrick O'Bryant,11.3,0.3,0.2,0,0,NA
Robert Werdann,7.7,0.2,0,-0.1,NA,NA
Gary Leonard,4.4,0.1,0,0,NA,NA
Chris Engler,-0.4,0.3,0.2,0.2,0,0
