Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Jimmy O'Brien,,1.4,1.4,1,0.2
Isaiah Canaan,87.9,1.4,1.4,0.5,0.2
Michael Carter-Williams,84.6,1.3,1.2,0.8,0.2
Tony Delk,83.8,1.6,1.3,0.8,0.4
Steve Harris,79.9,1.3,1.2,0.8,0
Sidney Lowe,79.8,1.7,1.5,0.5,0.3
Tony Smith,79.3,1.7,1.5,0.5,0.1
Norris Cole,79.1,1.4,1.2,0.6,0
Juan Dixon,78.7,2,1.4,1.2,0.1
Avery Johnson,78.5,1.6,1.3,0.5,0.3
John Crotty,78.4,2.1,1.3,1,0.3
