Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Jimmy O'Brien,,1.4,1.4,1,0.2,NA,NA,NA
Troy Daniels,81.9,1.4,1.3,1.1,0.3,0.2,0.2,NA
Steve Henson,80.7,1.2,1.1,1,0.2,0.1,0,0
Sidney Lowe,79.8,1.7,1.5,0.5,0.3,NA,NA,NA
Isaiah Canaan,79.1,1.4,1.4,0.6,0.5,0.2,0.1,NA
Chris Smith,78.1,1.2,1.1,0.9,NA,NA,NA,NA
Kenny Higgs,76.9,2.2,1.5,1,NA,NA,NA,NA
Steve Harris,76.8,1.3,1.2,0.8,0,-0.1,NA,NA
Justin Anderson,76.6,1.9,1.2,1.1,0.4,NA,NA,NA
Shane Larkin,76.6,1.7,1.4,1.4,-0.1,NA,NA,NA
Corky Devlin,76.3,1.8,1.2,0.8,NA,NA,NA,NA
