,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,21,TOT,ABA,,8,,2,,,,5,6,,,,,,,,,18
1971-72,21,PTC,ABA,,8,,2,,,,3,5,,,,,,,,,17
1971-72,21,KEN,ABA,,7,,2,,,,5,6,,,,,,,,,18
1972-73,22,KEN,ABA,,7,,0,,,,5,7,,,,,,,,,16
1973-74,23,TOT,ABA,,11,,1,,,,11,11,,,,,,,,,25
1973-74,23,KEN,ABA,,11,,1,,,,4,6,,,,,,,,,24
1973-74,23,SDA,ABA,,11,,1,,,,11,11,,,,,,,,,25
1974-75,24,SDA,ABA,,7,,2,,,,7,7,,,,,,,,,17
Career,,,,,11,,2,,,,11,11,,,,,,,,,25
3 Seasons,,KEN,ABA,,11,,2,,,,5,7,,,,,,,,,24
2 Seasons,,SDA,ABA,,11,,2,,,,11,11,,,,,,,,,25
1 Season,,PTC,ABA,,8,,2,,,,3,5,,,,,,,,,17
