Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,22,CAR,ABA,PG,30,NA,147,23,60,0.383,1,8,0.125,22,52,0.423,0.392,8,15,0.533,6,8,14,24,NA,NA,13,26,55
Career,NA,,ABA,,30,NA,147,23,60,0.383,1,8,0.125,22,52,0.423,0.392,8,15,0.533,6,8,14,24,NA,NA,13,26,55
