Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Tony Brown,,1.8,1.3,0.9,0.5,0.2,0.2,0,NA
Cliff Meely,91.5,1.8,1.2,1,0.4,0.2,NA,NA,NA
Bob Portman,84.7,1.9,1.2,0.8,0.5,NA,NA,NA,NA
Reggie Slater,84.7,1.8,1.5,0.8,0.5,0.4,0.2,0.1,-0.1
Henry Walker,83.9,1.9,1.1,0.9,0.5,0.5,NA,NA,NA
Thomas Robinson,82.6,1.6,1.5,0.9,0.6,-0.1,NA,NA,NA
Rafael Addison,81.7,1.5,1.5,0.9,0.4,0.4,0.2,NA,NA
Solomon Jones,80.5,1.9,1.6,0.8,0.5,0.3,0,0,-0.1
Pete Verhoeven,79.5,2.1,1.2,0.8,0.7,0.4,0,NA,NA
Anthony Randolph,78.5,1.6,1.5,1.1,0.6,0.5,0.5,NA,NA
Byron Houston,77.9,1.8,0.9,0.7,0.5,NA,NA,NA,NA
