Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Kevin O'Shea,,2.1,1.2,0.5,NA,NA
Chink Crossin,96.9,2.1,1.2,0.5,NA,NA
Courtney Alexander,89.6,2.2,1.1,0.8,NA,NA
Steve Bracey,85.9,2.1,1.5,0.3,NA,NA
Corky Devlin,82.7,1.8,1.2,0.8,NA,NA
Kenny Higgs,81.3,2.2,1.5,1,NA,NA
David Nwaba,81.2,2.4,1.4,0.8,NA,NA
Lloyd Daniels,80.9,1.8,1.1,0.2,0.1,0
Alexey Shved,80.8,2.2,0.8,0.2,NA,NA
Steven Kramer,79.4,1.9,1.2,1.1,NA,NA
Dirk Minniefield,78.9,1.9,1.1,1.1,NA,NA
