Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1975-76,25,ATL,NBA,SF,32,172,5.5,0.31,0.372,7.6,19.8,13.5,3,0.5,2.8,NA,-0.4,0.1,-0.2,-0.063,NA,-4.9,-0.8,-5.7,-0.2
Career,NA,,NBA,,32,172,5.5,0.31,0.372,7.6,19.8,13.5,3,0.5,2.8,NA,-0.4,0.1,-0.2,-0.063,NA,-4.9,-0.8,-5.7,-0.2
