Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Tom Garrick,,2.5,1.8,1.4,0.2
Sedale Threatt,90.9,2.5,2.1,1.3,0.1
Keith Bogans,90.1,2.3,1.7,1.3,0.1
James Robinson,89.7,2.3,1.9,1.2,0.2
Jerryd Bayless,88.5,2.7,2,1.6,0.3
Lee Mayberry,87.8,2.1,1.8,1.6,0.4
Alonzo Gee,87.3,2.4,1.9,1,0.4
Mike Bratz,87.1,2.1,1.7,1.5,0.4
John Salmons,87.0,2.1,1.7,1.4,0.6
Caris LeVert,86.2,2.3,1.8,1.7,NA
Gordan Giriček,85.9,2.4,1.8,1.6,-0.2
