Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Tom Garrick,,2.5,1.8,1.4,0.2,NA,NA,NA,NA
Caris LeVert,86.2,2.3,1.8,1.7,NA,NA,NA,NA,NA
James Robinson,86.1,2.3,1.9,1.2,0.2,0.2,0,-0.1,NA
Mike Barr,85.4,2.7,1.7,1.4,0.7,0.4,NA,NA,NA
Hollis Thompson,84.7,2.6,2,1.2,0.7,NA,NA,NA,NA
Bo Lamar,84.3,2.5,1.5,1,0.5,NA,NA,NA,NA
Anthony Goldwire,83.7,3,1.7,1.5,0.3,0.1,0.1,-0.1,-0.1
Tim Frazier,83.2,2.4,2,1.4,1,-0.1,NA,NA,NA
Maurice McHartley,82.0,2.4,1.8,0.8,NA,NA,NA,NA,NA
Gary Brokaw,81.6,1.9,1.6,1.6,0.1,NA,NA,NA,NA
Travis Diener,80.4,2.5,1.9,0.7,0.6,0,NA,NA,NA
