Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Audie Norris,,1.9,1.1,-0.1,NA,NA,NA
John Shasky,82.0,1.9,0.7,-0.1,NA,NA,NA
Zendon Hamilton,80.0,1.8,1.1,0.1,0.1,0,0
Justin Hamilton,76.1,2.1,1.5,0.1,NA,NA,NA
Mike Novak,74.8,1.8,0.6,-0.2,NA,NA,NA
Irv Rothenberg,71.4,2.3,1.6,-0.2,NA,NA,NA
Chris Anstey,69.7,1.9,0.6,0.3,NA,NA,NA
Gene Tormohlen,62.0,1.4,0.8,0.1,0,0,0
Josh Harrellson,59.7,1.4,0.7,0,NA,NA,NA
Pete Cross,59.6,2.6,1.8,-0.2,NA,NA,NA
Dave Hoppen,58.9,2.6,0.8,0.2,0,0,-0.1
