Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Audie Norris,,1.9,1.1,-0.1
Adonal Foyle,98.3,1.9,1.1,-0.1
John Shasky,82.0,1.9,0.7,-0.1
Paul Mokeski,80.3,1.7,0.8,-0.1
Justin Hamilton,76.1,2.1,1.5,0.1
Mike Novak,74.8,1.8,0.6,-0.2
Jamie Feick,74.0,2.2,0.9,0.2
Chris Andersen,73.0,2.4,1.1,0.3
Zaid Abdul-Aziz,71.9,2,1.8,-0.3
David Harrison,71.6,1.5,1.4,-0.2
Joffrey Lauvergne,71.5,2.3,1.5,0.1
