Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Jordan Farmar,,3.9,2.8,1.9,1.8,0.9,0.8,0.7,0.6,0.4,0,NA,NA,NA
Marquis Daniels,83.2,4.2,3.2,2.5,2,1.3,1.3,0.9,0.6,0.5,0.1,NA,NA,NA
Kevin Ollie,83.0,3.8,2.4,2.4,1.4,1.2,1.1,0.9,0.6,0.5,0.3,0.1,0,-0.1
E'Twaun Moore,82.1,4.4,2.7,1.8,1.7,1.7,0.8,0.2,0.2,NA,NA,NA,NA,NA
Charles Johnson,82.0,3.7,2.8,2.4,1.4,1.1,1,0.9,NA,NA,NA,NA,NA,NA
Frank Johnson,80.9,4.3,3,2.1,1.9,1.6,1.5,1.2,0.6,0.5,0.5,NA,NA,NA
Dudley Bradley,80.0,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1,0,NA,NA,NA,NA
John Barnhill,79.6,4.6,2.5,1.7,1.1,1,1,0.7,0.4,0.3,-0.4,NA,NA,NA
Anthony Bowie,79.3,2.9,2.5,2,1.6,1.3,0.7,0.7,0.5,NA,NA,NA,NA,NA
Ron Lee,78.9,3.8,2.8,1.6,1.4,0.8,0.3,NA,NA,NA,NA,NA,NA,NA
Quintin Dailey,78.7,3.7,2.6,2.1,2,1.3,1,0.3,0.1,-0.3,-0.3,NA,NA,NA
