Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Jordan Farmar,,3.9,2.8,1.9,1.8,0.9,0.8,0.7,0.6,0.4,0
Marquis Daniels,83.2,4.2,3.2,2.5,2,1.3,1.3,0.9,0.6,0.5,0.1
E'Twaun Moore,82.1,4.4,2.7,1.8,1.7,1.7,0.8,0.2,0.2,NA,NA
Charles Johnson,82.0,3.7,2.8,2.4,1.4,1.1,1,0.9,NA,NA,NA
Kevin Ollie,81.2,3.8,2.4,2.4,1.4,1.1,0.9,0.6,0.1,0,-0.1
Frank Johnson,80.9,4.3,3,2.1,1.9,1.6,1.5,1.2,0.6,0.5,0.5
Keyon Dooling,80.8,3.7,3.7,2.1,1.5,1.4,1.1,0.7,0.3,0.3,0
Dudley Bradley,80.0,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1,0,NA
Robert Pack,79.9,3.1,2.7,2.2,1.7,1.1,1.1,1.1,0.7,0.4,-0.6
John Barnhill,79.6,4.6,2.5,1.7,1.1,1,1,0.7,0.4,0.3,-0.4
Anthony Bowie,79.3,2.9,2.5,2,1.6,1.3,0.7,0.7,0.5,NA,NA
