Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Dennis Scott,,8.8,5,4.6,3.8,2.8,2.6,2.4,1.5,1.2,0.7,NA,NA
Don Kojis,90.6,8.3,5,4.8,3.7,3.3,3.2,2.2,1.9,1.5,0.7,0.7,0.5
Dave Gambee,84.3,7,5.3,5,4.6,3.3,2.7,2.2,1.9,1.6,1.4,0,NA
Ben Poquette,82.8,5.4,5,4.9,3.5,3.4,2.5,2.3,1.4,1.3,0.6,NA,NA
Jim Brewer,82.6,7.9,5.8,4.4,2.6,2.2,2,1.8,1.3,1.3,NA,NA,NA
George Lynch,82.4,6.5,5.8,3.9,3.5,2.6,2.5,2.5,1.7,1.5,0.9,0.7,0
Joe Caldwell,82.2,7.9,6.7,4.4,3.7,3.7,3.3,2.5,2.3,2,1.1,0.3,NA
Kenny Carr,82.2,6.7,5.8,5.1,3.8,3.1,2.9,2.9,2.1,1.1,0,NA,NA
Rodney Rogers,81.1,7.4,5.4,4.7,3.9,3.3,3.1,2.9,2.3,2.3,2,1.2,0.3
Cedric Ceballos,80.8,9.8,6.2,5.5,5.2,4,2.8,2.4,1.3,1.3,1.3,0.4,NA
Chris Morris,80.6,7.2,4.7,4.5,4,3.8,3.3,3.2,2.8,1.6,1.2,1,NA
