Season,Team,Lg,Salary
1990-91,Orlando Magic,NBA,"$1,560,000"
1991-92,Orlando Magic,NBA,"$1,980,000"
1992-93,Orlando Magic,NBA,"$2,400,000"
1993-94,Orlando Magic,NBA,"$2,820,000"
1994-95,Orlando Magic,NBA,"$3,240,000"
1995-96,Orlando Magic,NBA,"$3,150,000"
1996-97,Orlando Magic,NBA,"$3,000,000"
1997-98,Dallas Mavericks,NBA,"$2,920,000"
1998-99,New York Knicks,NBA,"$1,000,000"
1998-99,Minnesota Timberwolves,NBA,"$725,000"
1999-00,Vancouver Grizzlies,NBA,"$1,100,000"
2000-01,Washington Wizards,NBA,"$1,200,000"
Career,(may be incomplete),,"$25,095,000"
