Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Dennis Scott,,8.8,5,4.6,3.8,2.8,2.6,2.4,1.5,1.2,0.7
Don Kojis,89.2,8.3,5,3.7,3.3,3.2,2.2,1.9,1.5,0.7,0.7
Stacey Augmon,88.2,9.7,5.6,5.1,3.7,3.7,2.6,2.5,1.8,1.5,1.5
Rodney Rogers,86.7,7.4,5.4,4.7,3.9,3.3,2.9,2.3,2.3,2,1.2
Trevor Ariza,83.1,8,6.1,3.4,3.4,3.2,3.1,2.2,2.1,1.8,0.9
Johnny Green,83.1,5.6,5.1,5.1,3.8,2.6,2.4,2.3,1.7,1.5,1.2
Chris Morris,83.0,7.2,4.7,4.5,4,3.8,3.3,3.2,2.8,1.2,1
Ben Poquette,82.8,5.4,5,4.9,3.5,3.4,2.5,2.3,1.4,1.3,0.6
Jim Brewer,82.6,7.9,5.8,4.4,2.6,2.2,2,1.8,1.3,1.3,NA
Joe Caldwell,82.2,7.9,6.7,4.4,3.7,3.7,3.3,2.5,2.3,2,0.3
Kenny Carr,82.2,6.7,5.8,5.1,3.8,3.1,2.9,2.9,2.1,1.1,0
