,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1967-68,24,TOT,NBA,,2,,4,5,,,,,,,6,8
1967-68,24,DET,NBA,,2,,4,5,,,,,,,6,8
1969-70,26,PHO,NBA,,8,16,5,7,,,14,3,,,5,17
1970-71,27,CHI,NBA,,8,18,5,6,,,13,4,,,6,17
1974-75,31,SEA,NBA,,1,,2,3,,,,,,,,4
1975-76,32,MIL,NBA,,3,3,2,2,,,4,2,0,1,4,6
Career,,,,,8,,5,7,,,,,,,,17
1 Season,,SEA,NBA,,1,,2,3,,,,,,,,4
1 Season,,CHI,NBA,,8,18,5,6,,,13,4,,,6,17
1 Season,,DET,NBA,,2,,4,5,,,,,,,6,8
1 Season,,PHO,NBA,,8,16,5,7,,,14,3,,,5,17
1 Season,,MIL,NBA,,3,3,2,2,,,4,2,0,1,4,6
