Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,30,SEA,NBA,C,78,NA,2179,6.4,13.5,0.478,4.8,5.9,0.823,4.9,9.4,14.3,4.5,1.1,0.4,4.9,17.7,NA,NA,98
1974-75,31,SEA,NBA,C,75,NA,1766,6.5,13.9,0.469,4.4,5.5,0.802,3.3,9.4,12.7,3.5,1.2,0.4,4.3,17.4,NA,NA,97
1975-76,32,MIL,NBA,C,70,NA,918,5.3,10.2,0.517,3.1,4,0.785,4.1,7.7,11.8,2.1,1.4,0.8,6.5,13.7,NA,NA,99
1976-77,33,NYN,NBA,C,71,NA,1165,7.3,15.8,0.462,3.8,4.5,0.833,4,9.1,13.1,1.9,0.8,1,6.3,18.4,NA,NA,99
Career,NA,,NBA,,294,NA,6028,6.5,13.6,0.479,4.2,5.2,0.77,4.1,9.1,13.2,3.4,1.1,0.6,5.2,17.2,NA,NA,98
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,SEA,NBA,,153,NA,3945,6.5,13.7,0.488,4.6,5.7,0.812,4.2,9.4,13.6,4.1,1.2,0.4,4.7,17.6,NA,NA,97
1 season,NA,NYN,NBA,,71,NA,1165,7.3,15.8,0.462,3.8,4.5,0.833,4,9.1,13.1,1.9,0.8,1,6.3,18.4,NA,NA,99
1 season,NA,MIL,NBA,,70,NA,918,5.3,10.2,0.517,3.1,4,0.785,4.1,7.7,11.8,2.1,1.4,0.8,6.5,13.7,NA,NA,99
2 seasons,NA,CHI,NBA,,0,NA,0,NA,NA,0.452,NA,NA,0.742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,DET,NBA,,0,NA,0,NA,NA,0.444,NA,NA,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,PHO,NBA,,0,NA,0,NA,NA,0.501,NA,NA,0.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,CIN,NBA,,0,NA,0,NA,NA,0.45,NA,NA,0.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
