,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1967-68,24,TOT,NBA,,4,,6,8,,,,,,,,10
1967-68,24,CIN,NBA,,4,,5,8,,,,,,,,10
1967-68,24,DET,NBA,,4,,6,7,,,,,,,,10
1968-69,25,TOT,NBA,,11,,11,11,,,,,,,,27
1968-69,25,DET,NBA,,6,,6,7,,,,,,,,17
1968-69,25,PHO,NBA,,11,19,11,11,,,23,7,,,6,27
1969-70,26,PHO,NBA,,15,23,11,13,,,23,3,,,6,39
1970-71,27,CHI,NBA,,8,15,12,14,,,19,9,,,5,22
1971-72,28,TOT,NBA,,14,,13,14,,,,,,,,33
1971-72,28,CHI,NBA,,5,,5,6,,,,,,,,13
1971-72,28,CIN,NBA,,14,,13,14,,,,,,,,33
1972-73,29,SEA,NBA,,10,,11,11,,,,,,,,25
1973-74,30,SEA,NBA,,11,,13,14,,,,,,,,29
1974-75,31,SEA,NBA,,12,,10,11,,,,,,,,28
1975-76,32,MIL,NBA,,7,,9,10,,,,,,,,21
1976-77,33,NYN,NBA,,8,,7,9,,,,,,,,21
Career,,,,,15,,13,14,,,,,,,,39
3 Seasons,,SEA,NBA,,12,,13,14,,,,,,,,29
2 Seasons,,PHO,NBA,,15,23,11,13,,,23,7,,,6,39
2 Seasons,,CIN,NBA,,14,,13,14,,,,,,,,33
2 Seasons,,CHI,NBA,,8,,12,14,,,,,,,,22
1 Season,,NYN,NBA,,8,,7,9,,,,,,,,21
1 Season,,MIL,NBA,,7,,9,10,,,,,,,,21
2 Seasons,,DET,NBA,,6,,6,7,,,,,,,,17
