Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Jim Fox,,6.6,6.4,6.1,5.6,4.6,3.9,3.4,2.4,2.2,0.6
Darryl Dawkins,93.2,7.9,6.4,6.3,5.7,4.6,4,2.9,2.1,2.1,0.1
Rick Mahorn,92.0,6.2,5.9,5.9,5.3,4.8,4.6,3.6,2.5,1.8,1.3
Samuel Dalembert,90.7,6.9,6.9,6.2,5.2,4.1,4,3.9,3.6,2.9,0.3
Jim Chones,89.7,6.4,6.2,6,5.9,5.8,4.7,3.5,3.3,2.6,1.4
Brendan Haywood,89.7,6.8,6.7,5.2,5,3.9,3.8,3.4,3.1,2.9,0.2
Andrew Bogut,89.1,7.5,6.5,5.5,5.4,5.2,4.8,4,2.6,1.7,0.5
Theo Ratliff,88.1,6.7,5.6,5.4,5.2,5.2,4,3.9,3.8,2.3,0
James Edwards,87.9,7.1,7,6.7,4.5,4.4,4.3,3.7,3,1.4,1
Mark Eaton,87.6,6.6,5.5,5.4,5.3,4.1,4,3.8,3.7,3.6,0.8
Steve Hawes,87.2,6.1,6,5.7,5.4,3.4,3.2,2.5,1.9,1.8,1
