Thru 13 Years,Thru 13 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Toni Kukoč,,10.1,10,7,6.9,4.7,4,3.4,3.2,3.1,2.8,2,1.5,1.1
Zach Randolph,88.4,10.5,9.7,7.9,7.1,6.4,5.7,4.8,3.1,3,3,2.1,1.3,0.5
Donyell Marshall,87.2,10.4,8.5,6,6,5,4.2,4.2,3.8,3.8,3,1.3,1.3,0.3
Jermaine O'Neal,86.8,10.5,9,6.4,6.4,4.9,4.7,3.8,2.6,2.1,1.2,0.9,0.8,0.8
Nenê Hilário,85.7,10.8,9.6,9.3,6.1,5.3,5,4,3.2,3.2,3,2.7,0.3,-0.1
Corey Maggette,84.7,8.6,8.1,7,6.9,6.3,5,3.9,3.4,3.3,3.3,3,2.6,0.7
Danny Manning,84.6,9.8,7.9,6.5,5.3,5.2,5.2,3.5,3.4,2.6,2.6,1,0.7,0.4
Mickey Johnson,84.4,8.5,8.3,7.3,7.2,5.5,5.3,4.1,3.7,3.5,2.7,1.8,0.7,NA
Tayshaun Prince,84.2,9.4,8,7.5,7.5,7,6.2,3.6,3.3,3.2,2.5,2.1,1.5,0.8
Derrick Coleman,84.0,9.9,9.5,6.5,5.9,5.8,5.6,5.1,4.5,4.4,3.3,2,1.2,-0.2
Nick Anderson,83.6,8.3,7.7,7.6,7.4,5.3,4.2,3.9,3.6,3.1,2.8,1.8,0,-0.4
